0seqname_firstname_last agstreet              city      state     zip       dollar              pick  date      0000000000000000000000000float00000000000000000000credt-card00000000000000000000000natural
0038Terry     Lloyd     62Cola Ridge          Soloctej  VA        79570     $6850.88            WHITE 02/02/20140000000000000661300878036.1729000000000000000201450824879328000000000000004546522387578880
0039Lester    Richards  55Hanag Junction      Enhevu    NV        29896     $4999.31            GREEN 07/22/19500000000000000-359736859951.104000000000000005109406636756742000000000000001315443526598656
0040Jerome    Peterson  65Vuzit Extension     Jaosidot  MT        41628     $1206.52            GREEN 01/25/193100000000000000003244711477.248000000000000005122254565261638000000000000000702968521293824
0041Georgie   Terry     60Telit Road          Zikibwe   MN        36842     $2267.10            GREEN 02/23/19580000000000000222083484011.7248000000000000006259563444523346000000000000006732558970650624
0042Gabriel   Welch     35Akfu Mill           Mounzic   TX        71176     $2361.90            BLUE  10/04/20510000000000000544627976096.9728000000000000005470103092081076000000000000006880277339045888
0043Vincent   Reeves    29Zemwoj Center       Vugiwweh  ME        83770     $1802.78            BLUE  08/14/1926000000000000-205082726708.0192000000000000004026937568420280000000000000006378036058390528
0044Leonard   Oliver    50Eweso Path          Viugulu   MI        60024     $5428.72            BLUE  10/03/20480000000000000704994124339.6096000000000000006304281083659306000000000000001486718777688064
0045May       Tate      25Dege Heights        Uvduwi    FL        20970     $4560.95            GREEN 11/08/19520000000000000-522615768743.936000000000000006011526351842495000000000000004287383054843904
0046Raymond   Perry     22Nugid Park          Kezuhoz   PA        05248     $3880.48            WHITE 09/16/19580000000000000668294991524.6592000000000000000036094998920087000000000000003748562806505472
0047Jacob     Spencer   39Fobola Key          Gajuwdet  OK        13767     $6772.79            WHITE 04/28/191600000000000000672830515576.832000000000000004529921699282894000000000000005175641643155456
0048Roger     Richardson37Loero Parkway       Giredo    MI        22365     $2854.38            BLUE  12/16/19150000000000000478071121929.8304000000000000000343493791328761000000000000001071263879528448
0049Walter    Wong      50Zefban Plaza        Ralbopu   ID        63784     $4759.83            GREEN 02/20/19440000000000000091530464958.8736000000000000006334356607945516000000000000001879691103305728
0050Philip    Roberson  50Uwri Terrace        Odihevuha LA        68755     $829.91             RED   07/17/19610000000000000640927882700.3904000000000000005444980891934529000000000000006731299037380608
0051Derrick   Webb      35Ovisa Highway       Pudsotfo  IN        38280     $4617.69            YELLOW01/11/1958000000000000-615842286508.4417000000000000006304495070118650000000000000005518576414883840
0052Susan     Adams     52Vori Mill           Pirihataj NE        74285     $7674.24            BLUE  01/16/1980000000000000-471490150321.3568000000000000005018046473232801000000000000007845106533007360
0053Phillip   Daniels   64Hitmoc Grove        Ladauro   RI        04242     $3616.10            RED   09/14/1978000000000000-894784358265.6512000000000000006375306147528660000000000000000030325486911488
0054Francisco Jones     36Nuvej Court         Wufvijluc VA        93217     $6949.71            RED   07/31/19430000000000000232968175589.7856000000000000000036073787558233000000000000007250313702539264
0055Dorothy   Owen      39Wigfov Ridge        Bubupajeg NY        62243     $9526.63            RED   07/29/19350000000000000-96955947758.3872000000000000006277607617396721000000000000000908964728406016
0056Juan      Roberson  19Aliuv Glen          Wattoheg  RI        83014     $9413.42            RED   02/04/20490000000000000225691969991.4752000000000000004026807701556722000000000000005300529521491968
0057Jennie    Ramos     33Casej Court         Rizipe    AL        56095     $6274.78            WHITE 02/26/19650000000000000734532747237.7856000000000000005018642717239337000000000000003560576907214848
0058Nora      Hale      27Libi Grove          Poaduubu  OK        55061     $8585.12            GREEN 05/29/19320000000000000481294054902.9888000000000000004723463529623181000000000000003256566021095424
0059Lester    Clarke    35Abucu Court         Pauhowur  MI        34460     $5116.28            BLUE  02/09/2049000000000000-886396639038.6688000000000000006011841037180974000000000000006798739073138688
0060Martha    Stevens   53Ezfin Court         Lainug    FL        50092     $4652.86            GREEN 04/17/2026000000000000-783123081697.6896000000000000004042144097497240000000000000003533318819676160
0061Mildred   Johnson   51Hizom Parkway       Ulalehofa MD        10475     $6861.46            GREEN 02/15/19530000000000000257154781859.0208000000000000000201488433289661000000000000005983549385605120
0062Sophie    Moreno    61Lubgiz Ridge        Dektalbo  MO        43426     $5617.71            GREEN 04/05/1956000000000000-219385657766.7072000000000000000349647380914133000000000000007400158459330560
0063Lucas     Wolfe     65Ejmuv Terrace       Zivafisu  MN        74941     $1285.43            YELLOW01/28/20470000000000000244337549194.0352000000000000000345293252533893000000000000001980406826008576
0064Carl      Vasquez   44Kufun Manor         Kezbecoh  HI        29642     $43.56              WHITE 05/12/2066000000000000-321545196221.2352000000000000000348117225795106000000000000004888534812983296
0065Charlotte Jimenez   61Refeb Lane          Zifigis   VA        21116     $577.56             WHITE 06/27/19600000000000000565964866112.7168000000000000003528014683041667000000000000000615661982187520
0066Derrick   Rowe      37Diwa Way            Romiketak IL        91277     $8298.23            YELLOW05/22/19980000000000000672180945394.0736000000000000003528655443960859000000000000005864169909780480
0067Robert    Hudson    24Fintov Pike         Renikzij  TX        38688     $8315.73            YELLOW08/26/19600000000000000495558411367.2192000000000000006304449527108137000000000000000087155646922752
0068Georgia   Tran      44Dodlef View         Tukjadju  UT        68882     $1469.39            GREEN 02/09/2008000000000000-818401256040.0385000000000000000036468982972645000000000000006947373433487360
0069Blake     Ingram    48Mafdi Glen          Robcukcis OR        28270     $5698.72            GREEN 07/09/19290000000000000791896114017.0752000000000000004903540763746307000000000000000107836963028992
0070Carrie    Wong      49Otmej Terrace       Nevwuica  VT        12127     $3325.59            WHITE 06/02/1908000000000000-679500106537.3696000000000000004026169243082208000000000000000985081636192256
0071Franklin  Rodriquez 50Kalved Key          Moslelcu  NE        59260     $4250.87            RED   12/23/20100000000000000669787251906.9696000000000000006304443573460294000000000000006401364821278720
0072Vernon    Rhodes    21Ifwew Street        Ifacega   AL        67039     $8609.02            BLUE  11/25/1984000000000000-757920491687.1168000000000000006304869799959737000000000000004615097152438272
0073Rachel    Norris    53Pomov Lane          Humubeho  MO        39213     $3962.83            WHITE 12/09/1943000000000000-384891595889.0496000000000000006372844964858664000000000000000843606929702912
0074Carolyn   Cross     61Gakpic Drive        Imiboket  WY        44873     $4068.16            WHITE 08/27/20090000000000000252675862455.9104000000000000003528159951363697000000000000001156383506432000
0075Edith     Sherman   62Fesam Mill          Kumuheh   SC        41932     $7804.03            BLUE  08/08/20480000000000000172056558069.3504000000000000000030003125238475000000000000005914830493974528
0076Rhoda     Henderson 43Majgef Manor        Fezmevas  HI        92419     $565.60             YELLOW10/25/20360000000000000444563928278.6304000000000000005163652697987634000000000000002246024993177600
0077Olivia    Harper    40Neja Parkway        Seremuh   OK        38917     $1077.27            WHITE 02/17/20690000000000000146648067578.2656000000000000005114932810821625000000000000007791412850458624
0078Richard   Maldonado 57Kumvuk Manor        Voripho   ID        48064     $2967.62            YELLOW11/19/19170000000000000308870098871.9104000000000000000342141410876345000000000000003201937759535104
0079Robert    Stone     41Bapip View          Uppikga   NM        15930     $2354.00            BLUE  10/01/19310000000000000886717157684.0192000000000000003528100982651221000000000000001509458941313024
0080Isabella  Brady     20Attag Turnpike      Ripatev   AZ        20905     $1524.45            RED   10/05/20380000000000000020675429820.0064000000000000006246724375462302000000000000000788035906043904
0081Derrick   Cain      47Ofafif Glen         Aremuslop SD        07449     $9431.61            YELLOW02/24/19570000000000000051862465360.6912000000000000006334954706256049000000000000001406608491937792
0082Dylan     Williams  58Celiw Square        Daggirop  MA        68710     $618.22             BLUE  07/19/1992000000000000-545302372365.1072000000000000006216243802066582000000000000000035601126522880
0083Kathryn   Stokes    30Ucaer Park          Roetaru   KS        19996     $7188.14            YELLOW02/05/19910000000000000503708194019.7376000000000000005459556309388722000000000000007370100799700992
0084Sara      Jacobs    59Niop Heights        Burakhi   NC        52534     $5026.72            RED   05/12/19330000000000000-76617459800.4736000000000000000036045857692837000000000000002689640152694784
0085Ryan      Montgomery39Makcod Manor        Kocusav   OK        72947     $3995.43            BLUE  10/05/19960000000000000-370163689979.904000000000000000036408841116174000000000000002780995682041856
0086Blanche   Bush      57Jove Street         Gididfi   NY        66938     $216.66             YELLOW06/19/20590000000000000607270725065.1136000000000000006334196763451325000000000000001366851154083840
0087Ola       Norman    52Wizel Trail         Anridoj   WV        23581     $2546.31            GREEN 10/11/2026000000000000-558350631069.2864000000000000004185691106692838000000000000004578757950046208
0088Genevieve Cobb      34Cise Point          Bakluhnen NY        54654     $2126.95            RED   07/11/1978000000000000-117156242207.5392000000000000004903274738031310000000000000000475023015936000
0089Lena      Olson     51Pemza Place         Tifgofpim IL        09682     $824.30             GREEN 05/15/20130000000000000113820791576.9856000000000000005610831004046883000000000000000995834162315264
0090Carlos    Ramsey    32Jidib Junction      Hozufla   CO        67542     $1389.44            WHITE 09/18/19370000000000000839962237232.7424000000000000006011019733597318000000000000005688888918016000
0091Ophelia   Reynolds  43Pordo Grove         Tutokes   IL        07433     $4176.51            GREEN 10/27/2065000000000000-170346816313.7536000000000000000030087197439269000000000000004017515162238976
0092Rhoda     Frank     31Uvihov Park         Agpaprok  TX        56604     $2034.40            RED   12/07/20670000000000000524784833344.3072000000000000005610294161194469000000000000002785292073304064
0093Lilly     Boone     28Wojini Park         Dinkumwur SC        40949     $3448.90            RED   09/06/2019000000000000-107501548312.9856000000000000006304698092413559000000000000004738722272641024
0094Katherine Lindsey   32Taka Boulevard      Keihvuz   AZ        04845     $4262.65            YELLOW08/13/191000000000000000670420174897.152000000000000006215334142473587000000000000006437904333144064
0095Alberta   Wright    34Kibosa Street       Dotcunbu  KY        21044     $2066.26            YELLOW09/13/20220000000000000-796384347291.648000000000000000201448755318209000000000000003465866293280768
0096Helena    Gardner   32Anafur Boulevard    Kokitlo   GA        84723     $2761.76            BLUE  05/24/195500000000000000-42083322691.584000000000000000201470849744794000000000000003072810240966656
0097Herbert   Cruz      63Vesjiw Road         Belameiz  MS        26369     $2568.63            RED   01/07/19520000000000000554434402294.1696000000000000004026913733873679000000000000005869438173708288
0098Aaron     Singleton 39Fodim Pike          Esesephe  NJ        43232     $8959.43            WHITE 11/30/2007000000000000-130003649534.3616000000000000006304909770279653000000000000005316655668264960
0099Mollie    Glover    22Awouba Extension    Gocubav   NE        79043     $5842.08            YELLOW12/01/193500000000000000-37424350625.792000000000000003528351367258617000000000000002501297429282816
0100Randall   Benson    27Jato Junction       Medupgez  KS        78442     $137.34             GREEN 04/02/193300000000000000399357641752.576000000000000006304901359406526000000000000004057956043718656
0101Ellen     Foster    60Vedej Lane          Karowo    SC        11860     $8107.67            BLUE  07/07/1900000000000000-700108837276.8768000000000000006304005111908405000000000000005909888024707072
0102Alejandro Lyons     38Uvtu View           Enpedese  KY        44917     $1399.99            WHITE 03/08/19650000000000000674159911554.2528000000000000005150202955866370000000000000004300295517503488
0103Vincent   Bowen     21Okofuw Lane         Cujkemota WY        93764     $3767.52            RED   05/07/19930000000000000-72144716929.4336000000000000004903233872073512000000000000004941708819169280
0104Harold    Robertson 63Gopfa Ridge         Nuwuhna   VA        72732     $5938.29            BLUE  03/03/1918000000000000-731200430591.1808000000000000006255686869195235000000000000006108393469116416
0105Randy     Henderson 28Lasu Center         Josteblat ND        32614     $4758.60            RED   08/28/1914000000000000-777056827106.9185000000000000000030044950046393000000000000004197556332527616
0106Sue       Caldwell  25Ombi Pike           Gojedef   CA        13180     $6363.93            BLUE  05/16/19010000000000000340969902623.9488000000000000006224129816777100000000000000004758306409152512
0107Luella    Ruiz      19Vufrem Grove        Ucoapokip NE        32513     $6152.29            GREEN 05/24/20380000000000000360384213444.1984000000000000004336779840964445000000000000002337940374028288
0108Lura      Kelly     60Diec Lane           Kajapmom  OH        68557     $8040.76            YELLOW03/26/206600000000000000-504974037483.52000000000000005018872466656569000000000000008502250829774848
0109Jessie    Walton    65Hageg Parkway       Ukobivo   MI        54782     $9818.94            BLUE  09/13/1983000000000000-333416412846.4896000000000000006269026121960767000000000000002103766555820032
0110Hannah    Green     32Uwiiba Mill         Mobomjun  OH        04783     $6479.03            GREEN 03/27/19950000000000000457046503299.4816000000000000006011783788771991000000000000005899841966178304
0111Christine Ramirez   40Iloki Path          Vumevo    MD        25607     $4920.81            RED   03/14/20000000000000000204088345729.4336000000000000005018526134980856000000000000004221889671069696
0112Lela      Farmer    34Uwbo Place          Vicwogtuw FL        39018     $8903.45            WHITE 11/01/19700000000000000422385384475.8528000000000000005451854536698536000000000000001228985675546624
0113Robert    Fitzgerald59Itzuc Place         Uvoirnov  DC        80827     $7133.76            YELLOW12/27/20010000000000000-32988786904.2688000000000000004459462981256662000000000000003576673289109504
0114Gary      Reeves    60Ewejo Way           Labonad   CA        81734     $982.98             RED   04/29/19140000000000000-616574018912.256000000000000000036074180937529000000000000006841438404870144
0115Myrtie    Ramsey    42Luha Place          Vohodnev  MS        79988     $2572.39            YELLOW09/11/20660000000000000861918669150.6176000000000000005166965661071731000000000000004709626423541760
0116Alice     Stokes    35Lobap Drive         Fokbevvuj KY        65429     $5563.40            YELLOW02/18/19980000000000000387480642440.3968000000000000000030095704058035000000000000001351185231511552
0117Celia     Mann      47Dagbuz Parkway      Cepawbi   OR        44673     $9253.42            GREEN 01/07/1930000000000000-132364205503.2832000000000000006011736286673481000000000000000714162678267904
0118Clarence  Miller    46Huza Road           Poflimpa  ID        02006     $1272.38            YELLOW04/24/20390000000000000886013504048.3328000000000000005610017326864373000000000000007374413701840896
0119Blanche   Underwood 19Wube Plaza          Puakozo   AZ        65130     $9920.34            WHITE 07/31/206800000000000000227457372258.304000000000000005610007795956313000000000000004667696155197440
0120Eliza     Wise      29Bosgev Path         Weramija  DE        47746     $6519.46            BLUE  08/23/19380000000000000-844484518608.896000000000000000030031802702612000000000000002739162320994304
0121Victor    Holland   50Muoco Key           Sohosofud IN        26744     $5757.02            WHITE 03/06/1929000000000000-826491590305.3824000000000000006268061132896354000000000000008944560392634368
0122Laura     Henry     25Oreumi Pass         Jiahikam  WA        88071     $8055.62            WHITE 08/31/2062000000000000-584791955498.5984000000000000004874293426257396000000000000000774158833156096
0123Lucas     Harmon    33Owegah Road         Lijkavra  TX        12044     $6277.52            RED   11/07/19940000000000000548177890299.0848000000000000000036867017987652000000000000001745066573955072
0124Helena    Hansen    33Ipoaw Mill          Ajumeh    MD        72932     $6148.35            BLUE  04/14/2025000000000000-739813279504.7936000000000000006372892227842710000000000000007612394169696256
0125Louise    Reynolds  50Jici Point          Asoroud   TN        73747     $1630.62            GREEN 03/14/1939000000000000-315369995842.3552000000000000000030022435834468000000000000004790182557515776
0126Clarence  Bass      53Puzheg Turnpike     Fopovdid  MA        64274     $5683.43            BLUE  09/25/19700000000000000253372712511.0784000000000000005018316613878247000000000000002470505781133312
0127Katherine Foster    18Nidud Pass          Izoezke   CA        07392     $183.83             BLUE  02/17/19060000000000000283521857041.2032000000000000000030020514498890000000000000001154003203260416
0128Mable     Murray    39Zetful Ridge        Jetudef   RI        88721     $5972.20            WHITE 12/27/1924000000000000-462512258967.1424000000000000005018654961969402000000000000002642797012189184
0129Albert    Colon     47Pifbig Turnpike     Zolfoube  MT        15071     $4469.77            WHITE 01/04/1918000000000000-791985864992.3584000000000000005018175818412909000000000000000009844102791168
0130Brandon   Castro    44Peccu Manor         Zouroleg  RI        85750     $2140.99            RED   06/25/1947000000000000-356694647793.2544000000000000000347391368860248000000000000006802835232522240
0131Flora     Quinn     35Epebi Turnpike      Wuchuvag  MD        23840     $2809.28            BLUE  05/18/19420000000000000-52791361509.7856000000000000004903193932870309000000000000002188110918057984
0132Carlos    Gross     36Cecib Road          Mecboro   IN        04140     $505.29             WHITE 02/27/1995000000000000-587394398237.4912000000000000000344980334148465000000000000002810906740260864
0133Sam       Pena      59Ozse Road           Retduto   WV        89156     $8127.36            BLUE  03/22/1906000000000000-800716445083.2384000000000000006370013485793428000000000000007326098331271168
0134Adrian    Cannon    58Herag Parkway       Fupihmu   OH        75533     $6320.06            BLUE  04/09/19470000000000000713485874049.8431000000000000004512361596503440000000000000000011739032715264
0135Rose      Malone    61Pepat Park          Eswutus   NJ        22403     $4643.99            GREEN 06/28/19990000000000000-43874891123.9168000000000000004026178786184792000000000000008984176982228992
0136Alexander Fields    30Juke Boulevard      Dedenzi   WA        01439     $5460.24            WHITE 08/19/198700000000000000-69149596319.744000000000000006011971803255005000000000000000034837599617024
0137Christina Bass      50Vidvu Terrace       Resunih   NJ        56823     $3451.58            BLUE  10/20/19540000000000000851740196444.5696000000000000006334255905432179000000000000005895740700229632
0138Lelia     Holmes    26Avuso Way           Borwoplu  SD        48955     $494.27             YELLOW04/03/2039000000000000-861407076469.9648000000000000005018577770284467000000000000003541560593481728
0139Justin    Rowe      19Unani Plaza         Iwviom    NC        53947     $4086.93            YELLOW02/15/20690000000000000-36582529066.5984000000000000004026892261383535000000000000005572431051751424
0140Gavin     Barrett   23Ozubaf Key          Umtola    AR        71884     $9085.34            WHITE 12/21/20200000000000000148673877822.6688000000000000006304457082098023000000000000001896720468279296
0141Leo       Johnston  22Alam Key            Pugugzu   AL        79164     $320.04             GREEN 08/28/19190000000000000308526269543.2192000000000000006270582398867850000000000000007340142100480000
0142Owen      Watts     55Guiv Key            Fubunipo  ME        98407     $7001.71            GREEN 01/09/1906000000000000-813731912299.3152000000000000005610214635672221000000000000002294577658593280
0143Randall   Carroll   44Rehom Square        Naaledid  NJ        56536     $7098.96            GREEN 12/06/19870000000000000541829383795.5072000000000000004903935354364587000000000000002620365815676928
0144Ricardo   Strickland33Uvumug View         Ilepuve   WV        65623     $4266.59            RED   09/29/197700000000000000801734259638.272000000000000004313241886936032000000000000003019617853243392
0145Belle     Owen      60Ajgi Mill           Noscueso  NY        07534     $7299.88            GREEN 09/24/19320000000000000-40410385953.5872000000000000004903600993880100000000000000004847309877673984
0146Cora      Harrington25Bopu Circle         Udkipko   ID        00317     $6989.18            RED   01/20/1925000000000000-893485514856.8575000000000000005610147084109750000000000000003098252010323968
0147Ricky     Blake     19Volto Street        Izcetu    ME        81259     $5642.15            YELLOW07/28/2026000000000000-220869161281.1264000000000000006334944209206096000000000000003335937467613184
0148Thomas    Morrison  30Kohjur Street       Fejfiata  UT        72824     $7424.41            RED   02/18/20700000000000000-318129410408.448000000000000005018360585446021000000000000001572547365699584
0149Mabelle   Oliver    26Elifi Mill          Nonawje   LA        72498     $4697.68            RED   11/28/201300000000000000156984361877.504000000000000004026812127429983000000000000005096184934825984
0150Christina Vasquez   23Ethig Road          Bojsipjap IA        58637     $2750.35            RED   08/11/1911000000000000-213844433148.3136000000000000006334235405686987000000000000003577966642593792
0151Jayden    Martinez  57Jowa Parkway        Gulsewu   VT        11479     $9701.04            YELLOW09/19/1929000000000000-470957117616.9472000000000000000030062529475224000000000000007795376962666496
0152Jimmy     Poole     62Vevjew Circle       Pariugu   MO        77347     $7675.18            GREEN 11/21/19990000000000000438901317147.0336000000000000000036346201523508000000000000003518910903091200
0153Tom       Doyle     31Rapluj Junction     Vugoub    KY        65215     $1798.40            YELLOW01/02/201600000000000000118462183636.992000000000000005610923945769358000000000000002780551429750784
0154Franklin  Pittman   24Tuuc Trail          Pihreapa  IA        59821     $426.64             BLUE  07/16/20210000000000000548008457614.1312000000000000004054056579818260000000000000008998955025170432
0155Maude     Nunez     58Evubal River        Feekdac   AK        42482     $5502.31            GREEN 09/03/20620000000000000630356190638.8992000000000000000036993376677898000000000000001076514261041152
0156Theresa   Watkins   42Sowjo Mill          Ivanva    OK        71138     $7137.58            YELLOW03/22/196400000000000000453960691351.552000000000000006304298374562486000000000000003614468468637696
0157Milton    Wilson    26Wiwud River         Sitsemva  AL        12628     $1911.98            WHITE 08/26/20010000000000000504375765735.8336000000000000000036440049160340000000000000005666342271188992
0158Edgar     Little    18Jipcal Drive        Jasniseh  IN        88066     $1529.73            WHITE 08/14/1961000000000000-443678382777.9584000000000000004093429056349146000000000000004455355417362432
0159Ella      Carr      20Fege View           Jeecoro   WV        48244     $5654.62            BLUE  11/07/19410000000000000829632291851.4688000000000000004026501840836380000000000000004296475358003200
0160Mayme     Cox       61Cieri Plaza         Wubdelzo  WY        73278     $3033.75            BLUE  05/04/205300000000000000-116314687406.08000000000000000030043122627759000000000000005015359224545280
0161Lucy      Allen     55Gein Point          Culfeseji CT        66405     $8167.07            RED   04/28/1948000000000000-872293367755.5712000000000000005610063779187573000000000000008849681970888704
0162Louisa    Greene    23Rojuh Park          Lijojuv   SC        91598     $13.43              RED   03/11/20160000000000000834064859581.6448000000000000005108058249082213000000000000007619552741425152
0163Dennis    Ross      39Omga Square         Udehasab  UT        08198     $6906.89            WHITE 11/09/19250000000000000-71805466522.4192000000000000003528785706592469000000000000007462552724307968
0164Roger     Vega      40Nitivi Highway      Tilzevat  CT        80588     $2340.99            RED   04/03/198300000000000000-64548425957.376000000000000003528588054821948000000000000002619832400871424
0165Ralph     Diaz      29Ligah Terrace       Ijofecjok OK        41590     $1929.92            YELLOW04/02/20400000000000000506933015268.5568000000000000005189999803831457000000000000006852817685839872
0166Katherine Neal      42Lozi Key            Kipguwe   NE        29306     $2841.14            YELLOW02/24/19640000000000000532389955004.0064000000000000004026586811645068000000000000000233947078328320
0167Lilly     Freeman   23Putek Mill          Engosbib  VA        25379     $7005.74            RED   10/17/191800000000000000-270221852016.64000000000000005454609376300594000000000000000390752850935808
0168Hallie    Reid      42Uflo Heights        Zogosatoc MN        04059     $3905.34            RED   07/31/20180000000000000620937300095.7952000000000000000341217620238038000000000000006589568014876672
0169Gordon    Garcia    27Wiso River          Jaahim    TX        92562     $8086.72            RED   01/12/19470000000000000611738872237.2607000000000000006292188809984443000000000000005488828060008448
0170Elijah    Stone     58Ocizi Street        Uhpabmi   WA        12813     $9786.95            BLUE  02/20/2022000000000000-416551454480.7936000000000000005138004926747458000000000000008843359661588480
